"id","name","slug","region","tournaments"
"101382741235120470","LLA","lla","LATIN AMERICA","[{id=110411420269584926}, {id=109672513958565698}, {id=108916413227302339}, {id=108197521933954516}, {id=107530554766055254}, {id=106845973122821257}, {id=106269744788213905}, {id=105551618304300204}, {id=104237136838348356}, {id=103540419468532110}, {id=102147203732523011}, {id=101383792604229595}]"
"98767991314006698","LPL","lpl","CHINA","[{id=110825936250664572}, {id=110428848766564346}, {id=109669600527985422}, {id=108888310291632913}, {id=108431300950695970}, {id=107417779630700437}, {id=106860829994219982}, {id=106269484328946755}, {id=105516880821527383}, {id=104282610668475466}, {id=103462420723438502}, {id=102181141746404105}, {id=101388912982111577}, {id=100205574095502272}, {id=99566404873639114}]"
"104366947889790212","PCS","pcs","HONG KONG, MACAU, TAIWAN","[{id=110847340080101648}, {id=110423696147088301}, {id=110017385374098523}, {id=109704924270305512}, {id=108166997301178190}, {id=107693721179065689}, {id=106269875362449980}, {id=108883606278048211}, {id=104372946599464241}, {id=108795630627503777}]"
"98767991343597634","TCL","turkiye-sampiyonluk-ligi","EMEA","[{id=110429898578299667}, {id=109467188125028146}, {id=108197589213750000}, {id=107566408953200568}, {id=106269459003590888}, {id=105562822074055437}, {id=104248884617992857}, {id=103495775740097550}, {id=102235771755352569}, {id=101422616581636308}, {id=100205576975941700}, {id=99566406080517611}, {id=109189886261421571}]"
"107213827295848783","VCS","vcs","VIETNAM","[{id=110416959491275651}, {id=109749565997987636}, {id=109067014926424947}, {id=109066101880117809}, {id=107256578722475733}]"
"98767991325878492","MSI","msi","INTERNATIONAL","[{id=110198981276611770}, {id=107905284983470149}, {id=105873410870441926}, {id=101978171914014519}, {id=100205573044644938}, {id=109383739753133748}, {id=109381717382073421}]"
"98767975604431411","Worlds","worlds","INTERNATIONAL","[{id=108998961191900167}, {id=106926282333089592}, {id=104841804583318464}, {id=102804906674705057}, {id=100783238182986407}, {id=98767991971246908}, {id=109381371670969695}, {id=109393484577193964}, {id=107385933322514307}, {id=107125010264727827}]"
"98767991295297326","All-Star Event","all-star","INTERNATIONAL","[{id=105386292089445027}, {id=103240747053720909}, {id=101157821672845982}]"
"100695891328981122","EMEA Masters","emea_masters","EMEA","[{id=110535609415063567}, {id=110016463793610620}, {id=110016413865287161}, {id=108746562333593659}, {id=108746545967156991}, {id=107893386210553711}, {id=107893136888836553}, {id=106748850929174796}, {id=106744065768553123}, {id=105990084003609117}, {id=105945560578760612}, {id=104727755399361381}, {id=103936903203607374}, {id=102804705856335355}]"
"105266103462388553","La Ligue Française","lfl","EMEA","[{id=110424922266960422}, {id=109467129925344897}, {id=108158179538212767}, {id=107468370558963709}, {id=106313258182079617}, {id=105568157420311272}]"
"105266098308571975","NLC","nlc","EMEA","[{id=110425082378454783}, {id=109467209705050129}, {id=108172137675600410}, {id=107417432877679361}, {id=106340473013395166}, {id=105562790070504659}]"
"107407335299756365","Elite Series","elite_series","EMEA","[{id=110424377524465827}, {id=109467335886224883}, {id=108172713549542364}, {id=107563481236862420}]"
"105266101075764040","Liga Portuguesa","liga_portuguesa","EMEA","[{id=110425027634430773}, {id=109467367966036144}, {id=108171576055718204}, {id=107417530552861626}, {id=106311748110571694}, {id=105596427125578664}]"
"105266094998946936","PG Nationals","pg_nationals","EMEA","[{id=110444946767792846}, {id=109539799647393670}, {id=108166853206827117}, {id=107457033672415830}, {id=106319725617882570}, {id=105539775517396799}]"
"105266088231437431","Ultraliga","ultraliga","EMEA","[{id=110310652404523974}, {id=109539822190865259}, {id=108171991239909862}, {id=107416436272657995}, {id=106301901327374691}, {id=105562656842928291}]"
"105266074488398661","SuperLiga","superliga","EMEA","[{id=110349992504762921}, {id=109467087406180264}, {id=108171648025800968}, {id=107468241207873310}, {id=106312505037543791}, {id=105562529622379161}]"
"105266091639104326","Prime League","primeleague","EMEA","[{id=110343648526792583}, {id=109539770333903339}, {id=108158210393938046}, {id=107417741193036913}, {id=106305935741165084}, {id=105562556573338448}]"
"105266106309666619","Hitpoint Masters","hitpoint_masters","EMEA","[{id=110444842958969834}, {id=109467357559212289}, {id=108155621258059329}, {id=107575089348919003}, {id=106419362022708584}, {id=105596516630284353}]"
"105266111679554379","Esports Balkan League","esports_balkan_league","EMEA","[{id=110418013822985087}, {id=109467260897553204}, {id=108155414582681011}, {id=107468404707086558}, {id=106385973090763431}, {id=105596416963238709}]"
"105266108767593290","Greek Legends League","greek_legends","EMEA","[{id=110428723804419399}, {id=109467311739792322}, {id=108171529103782009}, {id=107575345394138670}, {id=106295147953460518}, {id=105522904800920947}]"
"109545772895506419","Arabian League","arabian_league","EMEA","[{id=110422923164198764}, {id=109545777182748074}]"
"108203770023880322","LCK Academy","lck_academy","KOREA","[{id=108256075285852973}]"
"106827757669296909","LJL Academy","ljl_academy","JAPAN","[{id=110507407705819578}, {id=108216929091956060}, {id=106828136191077157}]"
"98767991335774713","LCK Challengers","lck_challengers_league","KOREA","[{id=110378429156980338}, {id=109625523800645158}, {id=108211175216687366}, {id=107439257586040014}, {id=106308351107145908}, {id=105562431502825774}]"
"105549980953490846","CBLOL Academy","cblol_academy","BRAZIL","[{id=110413232002702589}, {id=109523665497010762}, {id=108211948453261786}, {id=107565607659994755}, {id=106269705187845648}, {id=105562692792011783}]"
"110371976858004491","North Regional League","north_regional_league","LATIN AMERICA NORTH","[{id=110372140231846916}]"
"110372322609949919","South Regional League","south_regional_league","LATIN AMERICA SOUTH","[{id=110372454557117766}]"
"108001239847565215","TFT Rising Legends","tft_esports","INTERNATIONAL","[{id=109761195185432372}, {id=108398603512314614}]"
